label,text,emoji_pos_count,emoji_neg_count,word_pos_count,word_neg_count
1,Good morning every one,0,0,1,0
0,TW: S AssaultActually horrified how many friends of mine women I talk to have been sexually assaulted in past. Just found out another unhappy 😧,0,10,1,1
1,Thanks by has notice of me Greetings : JossetteD'Hermanni,0,0,0,0
0,its ending soon aah unhappy 😧,0,10,1,1
1,My real time happy 😊,10,0,1,0
0,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy .2 😧,0,10,1,1
0,WHY ARE YOU WHIMPER AT ME?,0,0,0,0
1,Thanks for the recent follow Happy to connect happy have a great Thursday. Want this.3 😊,10,0,2,0
1,25x25? I can go first happy 😊,10,0,1,0
0,Biggest problem for paper books is storage unhappy 😧,0,10,1,1
0,GOD NOT THE KOALAS,0,0,0,0
1,fun and funny.... this book will warn up your kindle at night happy 😊,10,0,1,0
0,No Celtics or Bruins today unhappy At least Sale is pitching for the Sox 😧,0,10,1,1
1,I just did happy.1,0,0,1,0
1,thanks for the recent follow. Much appreciated happy Want this.2 😊,10,0,1,0
0,24-20 unhappy 😧,0,10,1,1
0,and he's still taking over a quarter of the billboard charts while x is,0,0,0,0
1,That's why I say at the end of my videos If you liked it,0,0,0,0
0,yeah sad 😔,0,10,0,1
1,TypingCure,0,0,0,0
0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.10,0,0,0,0
0,Well thanks for stoping by unhappy 😧,0,10,1,1
0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.12,0,0,0,0
0,I've Just Wrote 30 Tweets About But Still Didn't Notice Me crying 😆,10,0,0,0
0,Okey unhappy 😧,0,10,1,1
1,good morning,0,0,1,0
1,Thanks for the recent follow Happy to connect happy have a great Thursday. Want this ?.3 😊,10,0,2,0
0,Typed up all the medical shorthand abbreviation we use for work,0,0,0,0
0,it's such a negative pit of unhappiness,0,0,0,0
0,Definitely my arms unhappy .6 😧,0,10,1,1
